Especie,Sexo,Ala
Especie1,Machos,21.5
Especie1,Machos,19.6
Especie1,Machos,20.9
Especie1,Machos,22.8
Especie1,Hembras,14.8
Especie1,Hembras,15.6
Especie1,Hembras,13.5
Especie1,Hembras,16.4
Especie2,Machos,14.5
Especie2,Machos,17.4
Especie2,Machos,15
Especie2,Machos,17.8
Especie2,Hembras,12.1
Especie2,Hembras,11.4
Especie2,Hembras,12.7
Especie2,Hembras,14.5
Especie3,Machos,16
Especie3,Machos,20.3
Especie3,Machos,18.5
Especie3,Machos,19.3
Especie3,Hembras,14.4
Especie3,Hembras,14.7
Especie3,Hembras,13.8
Especie3,Hembras,12